45	-33
0	6
20	9
40	13
60	17
80	22
100	26
120	31
140	39
160	37
180	28
200	17
220	23
240	11
260	5
280	4
300	-35
320	-51
340	-85
360	-141
380	-249
400	-333
420	-315
440	-176
460	-33
480	24
500	53
520	71
540	80
560	92
580	123
600	170
620	249
640	333
660	261
680	141
700	-128
720	-161
740	-124
760	-118
780	-125
800	-143
820	-169
840	-181
860	-118
880	-53
900	17
920	31
940	14
960	-10
980	-42
1000	-41
1020	-38
1040	-28
1060	-37
1080	-35
1100	-4
1120	-40
1140	12
1160	-37
1180	-35
1200	-15
1220	-28
1240	51
1260	305
1280	1232
1300	1365
1320	729
1340	342
1360	160
1380	82
1400	47
1420	9
1440	-3
1460	30
1480	-29
1500	63
1520	37
1540	15
1560	24
1580	12
1600	25
1620	41
1640	60
